sale_id,customer_id,quantity,promotion,loyalty_points
310,66,2,False,20
311,14,2,False,20
312,78,5,True,70
313,92,5,False,50
314,41,2,True,40
315,31,5,True,70
316,5,3,False,30
317,23,1,True,30
318,54,1,False,10
319,20,1,False,10
320,15,1,True,30
321,22,2,False,20
322,69,2,True,40
323,64,5,True,70
324,95,4,False,40
325,20,4,True,60
326,81,5,True,70
327,16,4,True,60
328,55,1,True,30
329,98,4,False,40
330,34,4,True,60
331,57,4,True,60
332,94,4,False,40
333,28,5,True,70
334,74,5,True,70
335,19,1,False,10
336,67,2,True,40
337,55,2,False,20
338,58,1,False,10
339,44,4,False,40
340,53,2,False,20
341,65,5,False,50
342,30,1,False,10
343,58,1,False,10
344,37,1,True,30
345,98,4,False,40
346,89,5,False,50
347,33,1,True,30
348,90,1,True,30
349,50,4,False,40
350,19,4,True,60
351,70,2,True,40
352,82,2,True,40
353,86,2,True,40
354,13,2,True,40
355,100,2,True,40
356,17,2,False,20
357,71,5,True,70
358,20,3,False,30
359,85,3,True,50
360,69,5,True,70
361,6,3,False,30
362,25,2,True,40
363,14,1,True,30
364,65,1,True,30
365,58,1,False,10
366,23,3,True,50
367,20,3,True,50
368,15,5,True,70
369,21,5,True,70
370,13,3,False,30
371,43,2,False,20
372,35,1,True,30
373,49,3,True,50
374,82,3,True,50
375,46,3,True,50
376,11,5,True,70
377,95,5,False,50
378,9,3,False,30
379,95,3,False,30
380,8,2,True,40
381,53,3,False,30
382,86,4,True,60
383,25,3,False,30
384,96,4,True,60
385,65,5,True,70
386,11,4,True,60
387,28,1,False,10
388,26,2,True,40
389,35,1,True,30
390,67,3,False,30
391,33,4,True,60
392,70,1,False,10
393,94,4,True,60
394,38,3,False,30
395,47,2,False,20
396,9,2,False,20
397,35,2,False,20
398,55,1,False,10
399,64,1,True,30
400,17,2,False,20
401,16,1,False,10
402,24,5,False,50
403,35,3,True,50
404,62,2,True,40
405,34,2,False,20
406,4,2,True,40
407,15,5,False,50
408,23,4,False,40
409,63,5,True,70
410,8,1,False,10
411,24,3,False,30
412,46,1,False,10
413,28,1,False,10
414,94,2,True,40
415,56,4,False,40
416,13,5,False,50
417,3,2,False,20
418,42,3,False,30
419,81,1,True,30
420,99,1,False,10
421,86,4,True,60
422,82,5,False,50
423,86,4,False,40
424,37,5,True,70
425,86,1,False,10
426,50,1,False,10
427,94,3,False,30
428,82,1,False,10
429,65,5,True,70
430,66,4,True,60
431,43,3,False,30
432,95,5,False,50
433,87,5,True,70
434,28,2,False,20
435,3,4,False,40
436,5,2,True,40
437,79,4,False,40
438,5,4,False,40
439,5,5,True,70
440,69,2,False,20
441,72,1,True,30
442,54,3,False,30
443,40,3,False,30
444,49,3,False,30
445,1,3,True,50
446,65,3,True,50
447,91,4,False,40
448,71,4,True,60
449,23,1,True,30
450,72,3,True,50
451,86,2,False,20
452,96,2,True,40
453,42,2,True,40
454,44,3,False,30
455,18,1,False,10
456,29,5,True,70
457,87,5,False,50
458,72,1,True,30
459,17,1,False,10
460,69,1,False,10
461,24,2,True,40
462,66,3,False,30
463,76,4,False,40
464,2,1,True,30
465,3,2,False,20
466,83,3,False,30
467,11,4,False,40
468,10,2,False,20
469,26,4,False,40
470,23,1,False,10
471,16,1,True,30
472,71,4,True,60
473,12,4,True,60
474,7,3,True,50
475,58,4,False,40
476,4,4,True,60
477,28,4,False,40
478,71,2,True,40
479,50,2,False,20
480,37,4,True,60
481,42,5,True,70
482,43,2,True,40
483,4,5,True,70
484,13,4,True,60
485,37,4,True,60
486,8,3,True,50
487,60,1,True,30
488,43,3,False,30
489,62,3,False,30
490,10,3,True,50
491,6,5,True,70
492,65,1,True,30
493,10,3,False,30
494,95,4,True,60
495,31,3,True,50
496,20,4,False,40
497,29,1,False,10
498,14,3,False,30
499,11,4,False,40
500,61,4,True,60
