sale_id,customer_id,quantity,promotion
365,58,1,False
366,23,3,True
367,20,3,True
368,15,5,True
369,21,5,True
370,13,3,False
371,43,2,False
372,35,1,True
373,49,3,True
374,82,3,True
375,46,3,True
376,11,5,True
377,95,5,False
378,9,3,False
379,95,3,False
380,8,2,True
381,53,3,False
382,86,4,True
383,25,3,False
384,96,4,True
385,65,5,True
386,11,4,True
387,28,1,False
388,26,2,True
389,35,1,True
390,67,3,False
391,33,4,True
392,70,1,False
393,94,4,True
394,38,3,False
395,47,2,False
396,9,2,False
397,35,2,False
398,55,1,False
399,64,1,True
400,17,2,False
401,16,1,False
402,24,5,False
403,35,3,True
404,62,2,True
405,34,2,False
406,4,2,True
407,15,5,False
408,23,4,False
409,63,5,True
410,8,1,False
411,24,3,False
412,46,1,False
413,28,1,False
414,94,2,True
415,56,4,False
416,13,5,False
417,3,2,False
418,42,3,False
419,81,1,True
420,99,1,False
421,86,4,True
422,82,5,False
423,86,4,False
424,37,5,True
425,86,1,False
426,50,1,False
427,94,3,False
428,82,1,False
429,65,5,True
430,66,4,True
431,43,3,False
432,95,5,False
433,87,5,True
434,28,2,False
435,3,4,False
436,5,2,True
437,79,4,False
438,5,4,False
439,5,5,True
440,69,2,False
441,72,1,True
442,54,3,False
443,40,3,False
444,49,3,False
445,1,3,True
446,65,3,True
447,91,4,False
448,71,4,True
449,23,1,True
450,72,3,True
451,86,2,False
452,96,2,True
453,42,2,True
454,44,3,False
455,18,1,False
456,29,5,True
457,87,5,False
458,72,1,True
459,17,1,False
460,69,1,False
461,24,2,True
462,66,3,False
463,76,4,False
464,2,1,True
465,3,2,False
466,83,3,False
467,11,4,False
468,10,2,False
469,26,4,False
470,23,1,False
471,16,1,True
472,71,4,True
473,12,4,True
474,7,3,True
475,58,4,False
476,4,4,True
477,28,4,False
478,71,2,True
479,50,2,False
480,37,4,True
481,42,5,True
482,43,2,True
483,4,5,True
484,13,4,True
485,37,4,True
486,8,3,True
487,60,1,True
488,43,3,False
489,62,3,False
490,10,3,True
491,6,5,True
492,65,1,True
493,10,3,False
494,95,4,True
495,31,3,True
496,20,4,False
497,29,1,False
498,14,3,False
499,11,4,False
500,61,4,True
